tipo_relatorio,modelo_sentimento,lag,coluna_sentimento,RMSE,MAE,R2,Delta_RMSE_pct_vs_base,Delta_MAE_pct_vs_base,Delta_R2_vs_base
estatisticas,bert,1,estatisticas_score_bert_l1,0.096475,0.077523,0.886547,5.215,2.4549,0.012829
estatisticas,nltk,6,estatisticas_score_nltk_l6,0.097667,0.075238,0.883725,4.0439,5.33,0.010007
copom,finbert,3,copom_score_finbert_l3,0.098875,0.076481,0.880831,2.8571,3.766,0.007113
copom,mistral,3,copom_score_mistral_l3,0.099314,0.078217,0.879772,2.4257,1.5816,0.006054
copom,media,3,copom_score_media_l3,0.100075,0.078053,0.877922,1.6781,1.788,0.004204
copom,textblob,3,copom_score_textblob_l3,0.100212,0.078521,0.877587,1.5435,1.1991,0.003869
estatisticas,finbert,4,estatisticas_score_finbert_l4,0.100895,0.080607,0.875913,0.8724,-1.4256,0.002195
copom,nltk,4,copom_score_nltk_l4,0.101204,0.078316,0.875152,0.5689,1.4571,0.001434
estatisticas,textblob,1,estatisticas_score_textblob_l1,0.101576,0.079729,0.874232,0.2034,-0.3209,0.000514
base,sem_sentimento,-,-,0.101783,0.079474,0.873718,0.0,0.0,0.0
copom,bert,5,copom_score_bert_l5,0.101809,0.079947,0.873653,-0.0255,-0.5952,-6.5e-05
estatisticas,mistral,2,estatisticas_score_mistral_l2,0.102118,0.078933,0.872886,-0.3291,0.6807,-0.000832
estatisticas,media,1,estatisticas_score_media_l1,0.102228,0.07999,0.872612,-0.4372,-0.6493,-0.001106
