Modelo,Grupo,Algoritmo,Usa_sentimento,Sentimento,Lag_sentimento,MAE,RMSE,R2,Bias,Slope,Intercept,bias_estimado_treino,N,Ranking_RMSE
ARIMAX + Mistral Copom L4 + bias,Com sentimento,ARIMAX,True,Mistral Copom,L4,0.132543,0.175374,0.716628,-0.012423,0.785812,0.746819,0.074078,24,1
ARIMAX + Media dos Modelos Copom L6 + bias,Com sentimento,ARIMAX,True,Media dos Modelos Copom,L6,0.135281,0.175807,0.715227,-0.008185,0.804033,0.680107,0.071777,24,2
ARIMAX + FinBERT-PT-BR Estat. L6 + bias,Com sentimento,ARIMAX,True,FinBERT-PT-BR Estat.,L6,0.144287,0.176063,0.714397,-0.001782,0.774955,0.773404,0.07068,24,3
ARIMAX + NLTK/VADER Copom L6 + bias,Com sentimento,ARIMAX,True,NLTK/VADER Copom,L6,0.143467,0.181516,0.696433,0.002214,0.809732,0.650167,0.08142,24,4
"ARIMA(2,1,4) sem sentimento + bias",Sem sentimento,ARIMA,False,,,0.145419,0.185725,0.68219,0.006215,0.746013,0.864643,0.064559,24,5
XGBoost + FinBERT-PT-BR Estat. L4 + bias,Com sentimento,XGBoost,True,FinBERT-PT-BR Estat.,L4,0.245829,0.279762,0.278886,-0.117465,0.317712,2.456861,0.382433,24,6
XGBoost + Mistral Copom L2 + bias,Com sentimento,XGBoost,True,Mistral Copom,L2,0.211347,0.280026,0.277525,-0.161774,0.596299,1.545964,0.405546,24,7
XGBoost + Media dos Modelos Copom L1 + bias,Com sentimento,XGBoost,True,Media dos Modelos Copom,L1,0.234909,0.286945,0.24138,-0.16204,0.412791,2.175434,0.432902,24,8
SVR + Media dos Modelos Copom L4 + bias,Com sentimento,SVR,True,Media dos Modelos Copom,L4,0.240237,0.303947,0.148818,-0.099941,0.648969,1.303539,0.409485,24,9
SVR(k=2) sem sentimento + bias,Sem sentimento,SVR,False,,,0.273558,0.308317,0.124166,-0.145103,0.382565,2.262132,0.36311,24,10
SVR + FinBERT-PT-BR Estat. L5 + bias,Com sentimento,SVR,True,FinBERT-PT-BR Estat.,L5,0.262013,0.310201,0.11343,-0.005014,0.433445,1.947591,0.372863,24,11
XGBoost + NLTK/VADER Copom L3 + bias,Com sentimento,XGBoost,True,NLTK/VADER Copom,L3,0.287062,0.329951,-0.003054,-0.180499,0.257925,2.724889,0.407417,24,12
SVR + Mistral Copom L4 + bias,Com sentimento,SVR,True,Mistral Copom,L4,0.270286,0.332591,-0.01917,-0.166431,0.741085,1.054188,0.385701,24,13
XGBoost(k=6) sem sentimento + bias,Sem sentimento,XGBoost,False,,,0.293755,0.34033,-0.067152,-0.185321,0.230111,2.825077,0.399851,24,14
SVR + NLTK/VADER Copom L5 + bias,Com sentimento,SVR,True,NLTK/VADER Copom,L5,0.31261,0.37454,-0.292475,-0.23228,0.316271,2.576615,0.390954,24,15
